Department,Category,AccountCode,AccountName,     BudgetAmount     ,Period
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/09/2017
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/09/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/09/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/10/2017
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/10/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/10/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/11/2017
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/11/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/11/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/12/2017
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/12/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/12/2017
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/01/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/01/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/01/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/02/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/02/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/02/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/03/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/03/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/03/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/04/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/04/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/04/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/05/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/05/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"25,000.00",01/06/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2018
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"4,000.00",01/06/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/07/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/07/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/08/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/08/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/09/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/09/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/10/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/10/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/11/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/11/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/12/2018
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/12/2018
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/01/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/01/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/02/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/02/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/03/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/03/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/04/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/04/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/07/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/07/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/07/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/07/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/08/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/08/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/08/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/08/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/09/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/09/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/09/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/09/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/10/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/10/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/10/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/10/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/11/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/11/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/11/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/11/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/12/2019
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/12/2019
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/12/2019
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/12/2019
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/01/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/01/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/01/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/01/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/02/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/02/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/02/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/02/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/03/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/03/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/03/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/03/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/04/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/04/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/04/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/04/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/05/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/05/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"12,000.00",01/06/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2020
PACKHOUSE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"30,000.00",01/06/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/07/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/07/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/07/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/08/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/08/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/08/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/09/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/09/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/09/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/10/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/10/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/10/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/11/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/11/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/11/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/12/2020
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/12/2020
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/12/2020
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/01/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/01/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/01/2021
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/02/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/02/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/02/2021
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/03/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/03/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/03/2021
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/04/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/04/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"10,000.00",01/04/2021
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/05/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/05/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/05/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,000.00",01/06/2021
HYPERICUM,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"5,000.00",01/06/2021
ROSES,INDIRECT COST,600906,REPAIRS - LOOSE TOOLS & EQUIP,"2,500.00",01/06/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/07/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/08/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/09/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/10/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/11/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/12/2021
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/01/2022
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/02/2022
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/03/2022
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/04/2022
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/05/2022
GENERAL MAINTENANCE,INDIRECT COST,600906,REPAIRS - LOOS TOOLS & EQUIP,"2,500.00",01/06/2022
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/07/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/07/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/07/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/08/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/08/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/08/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/09/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/09/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/09/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/10/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/10/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/10/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/11/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/11/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/11/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/12/2016
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/12/2016
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/12/2016
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/01/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/01/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/01/2017
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/02/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/02/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/02/2017
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/03/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/03/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/03/2017
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/04/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/04/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/04/2017
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/05/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/05/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/05/2017
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"15,000.00",01/06/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/06/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/06/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/07/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/07/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/08/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/08/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/09/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/09/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/10/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/10/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/11/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/11/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/12/2017
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/12/2017
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/01/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/01/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/02/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/02/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/03/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/03/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/04/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/04/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/05/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/05/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"50,000.00",01/06/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"53,000.00",01/06/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/07/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/07/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/08/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/08/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/09/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/09/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/10/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/10/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/11/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/11/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/12/2018
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/12/2018
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/01/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/01/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/02/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/02/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/03/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/03/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/04/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/04/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/05/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/05/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"16,000.00",01/06/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/06/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/07/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/07/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/07/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/08/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/08/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/08/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/09/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/09/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/09/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/10/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/10/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/10/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/11/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/11/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/11/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/12/2019
HYPERICUM,INDIRECT COST,600905,REPAIRS - IRRIGATION,"40,000.00",01/12/2019
ROSES,INDIRECT COST,600905,REPAIRS - IRRIGATION,"36,000.00",01/12/2019
GENERAL MAINTENANCE,INDIRECT COST,600905,REPAIRS - IRRIGATION,"20,000.00",01/01/2020
